"Nr porządkowy (a)","Nazwa chemiczna (b)","Numer/nazwa wg wykazu barwników zawartego w słowniku (c)","Nr CAS (d)","Nr WE (e)","Kolor (f)","Rodzaj produktu, części ciała (g)","Maksymalne stężenie w preparacie gotowym do użycia (h)","Inne (i)","Brzmienie warunków stosowania i ostrzeżeń (j)"
"144","Tlenek cynku <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='W przypadku stosowania jako substancji promieniochronnej, zob. załącznik VI nr 30 i 30a.'>(2)</span></sup>","77947","1314-13-2","215-222-5","Biały",,,"Nie do zastosowań, które mogą prowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie.",
"145","Ryboflawina","Lactoflavin",,"201-507-1/204-988-6","Żółty",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 101)",
"146","Karmel","Caramel",,"232-435-9","Brązowy",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 150a-d)",
"147","Wyciąg z papryki, kapsantyna, kapsorubina","Capsanthin/capsorubin",,"207-364-1 / 207-425-2","Pomarańczowy",,,"Wymagana czystość – zgodnie z dyrektywą Komisji 95/45/WE (E 160c)",
"148","Czerwień buraczana","Beetroot Red","7659-95-2","231-628-5","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 162)",
"149","Antocyjany (Cyjanidyna, Peonidyna Malwidyna Delfinidyna Petunidyna Pelargonidyna)","Anthocyanins","528-56-5 134-01-0 528-53-0 643-84-5 134-04-3","208-438-6 205-125-6 211-403-8 208-437-0 — 205-127-7","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 163)",
"150","Stearyniany glinu, cynku, magnezu i wapnia","Aluminum stearate <br>Zinc stearate <br>Magnesium stearate <br>Calcium stearate","7047-84-9 <br>557-05-1 <br>557-04-0 <br>216-472-8","230-325-5 <br>209-151-9 <br>209-150-3 <br>216-472-8","Biały",,,,
"151","Fenol, 4,4'-(3H-2,1- benzoksatiol -3-yildeno)bis[2-bromo-3-metylo-6-(1-metylowoetylowo)-, S, S-dwutlenek","Bromothymol blue","76-59-5","200-971-2","Niebieski","Produkty spłukiwane",,,
"152","Fenol, 4,4'-(3H-2,1-benzoksatiol-3-yildeno)bis[2,6-dibromo-3-metylo-,S,S-ditlenek","Bromocresol green","76-60-8","200-972-8","Zielony","Produkty spłukiwane",,,
"153","4-[(4,5-dihydro-3-metylo-5-okso-1-fenylo-1H-pirazol-4-ylo)azo]-3-hydroksynaftaleno-1-sulfonian sodu","Acid red 195","12220-24-5","—","Czerwony","Nie stosować w produktach stosowanych na błony śluzowe",,,
