"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Numer CAS (c)","Numer WE (d)"
"600","Alkany, C1-4, bogate w C3, jeśli zawierają> 0,1 % wagowych butadienu","90622-55-2","292-456-4"
"601","Gazy (ropa naftowa), z procesu odsiarczania oleju gazowego z dietanoloaminą, jeśli zawierają> 0,1 % wagowych butadienu","92045-15-3","295-397-2"
"602","Gazy (ropa naftowa), z wymywania hydroodsiarczonego oleju gazowego, jeśli zawierają> 0,1 % wagowych butadienu","92045-16-4","295-398-8"
"603","Gazy (ropa naftowa), z hydroodsiarczania oleju gazowego z przedmuchu, jeśli zawierają> 0,1 % wagowych butadienu","92045-17-5","295-399-3"
"604","Gazy (ropa naftowa), z przemywania odcieku z reakcji uwodornienia, jeśli zawierają> 0,1 % wagowych butadienu","92045-18-6","295-400-7"
"605","Gazy (ropa naftowa), wysokociśnieniowy kraking ciężkiej benzyny z parąwodną, jeśli zawierają> 0,1 % wagowych butadienu","92045-19-7","295-401-2"
"606","Gazy (ropa naftowa), pozostałość z visbreakingu, jeśli zawierają> 0,1 % wagowych butadienu","92045-20-0","295-402-8"
"607","Gazy (ropa naftowa), z krakingu parowego, bogate w C3, jeśli zawierają> 0,1 % wagowych butadienu","92045-22-2","295-404-9"
"608","Węglowodory, C4, destylaty z krakingu z parąwodną, jeśli zawierają> 0,1 % wagowych butadienu","92045-23-3","295-405-4"
"609","Gazy z ropy naftowej, frakcja węglowodorów C4, skroplona, odsiarczona, jeśli zawierają> 0,1 % wagowych butadienu","92045-80-2","295-463-0"
"610","Węglowodory, C4, wolne od 1,3-butadienu i izobutenu, jeśli zawierają> 0,1 % wagowych butadienu","95465-89-7","306-004-1"
"611","Rafinaty (ropa naftowa), frakcja węglowodorów C4 z krakingu parowego ekstrahowana octanem amonu i miedzi, złożona z węglowodorów C3-5, wolna od butadienu, jeśli zawierają> 0,1 % wagowych butadienu","97722-19-5","307-769-4"
"612","Benzo[def]chryzen (benzo[a]piren)","50-32-8","200-028-5"
"613","Pak, smoła węglowa – produkty petrochemiczne, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","68187-57-5","269-109-0"
"614","Destylaty (węgiel-ropa naftowa), związki aromatyczne o skondensowanych pierścieniach, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","68188-48-7","269-159-3"
"615","Przeniesiony lub skreślony",,
"616","Przeniesiony lub skreślony",,
"617","Olej kreozotowy, frakcja acenaftenowa, wolna od acenaftenu, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","90640-85-0","292-606-9"
"618","Pak smoły węglowej niskotemperaturowej, jeśli zawiera > 0,005 % wagowych benzo[a]pirenu","90669-57-1","292-651-4"
"619","Pak smoły węglowej niskotemperaturowej poddany obróbce cieplnej, jeśli zawiera > 0,005 % wagowych benzo[a]pirenu","90669-58-2","292-653-5"
"620","Pak smoły węglowej niskotemperaturowej, utleniony, jeśli zawiera > 0,005 % wagowych benzo[a]pirenu","90669-59-3","292-654-0"
"621","Pozostałości po ekstrakcji węgla brunatnego, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","91697-23-3","294-285-0"
"622","Woski parafinowe (węgiel), smoła wysokotemperaturowa z węgla brunatnego, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","92045-71-1","295-454-1"
"623","Woski parafinowe (węgiel), smoła wysokotemperaturowa z węgla brunatnego hydrorafinowana, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","92045-72-2","295-455-7"
"624","Odpady stałe, po koksowaniu smoły węglowej, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","92062-34-5","295-549-8"
"625","Pak smoły węglowej wysokotemperaturowej, pak wtórny, jeśli zawiera > 0,005 % wagowych benzo[a]pirenu","94114-13-3","302-650-3"
"626","Pozostałości po ekstrakcji ciekłym rozpuszczalnikiem (węgiel), jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","94114-46-2","302-681-2"
"627","Ciecze węglowe, roztwory z ekstrakcji ciekłym rozpuszczalnikiem, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","94114-47-3","302-682-8"
"628","Ciecze węglowe, po ekstrakcji ciekłym rozpuszczalnikiem, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","94114-48-4","302-683-3"
"629","Woski parafinowe (węgiel), wysokotemperaturowa smoła z węgla brunatnego, oczyszczona węglem, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","97926-76-6","308-296-6"
"630","Woski parafinowe (węgiel), wysokotemperaturowa smoła z węgla brunatnego, oczyszczona gliną, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","97926-77-7","308-297-1"
"631","Woski parafinowe (węgiel), wysokotemperaturowa smoła z węgla brunatnego oczyszczone kwasem krzemowym, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","97926-78-8","308-298-7"
"632","Oleje absorpcyjne, frakcja węglowodorów aromatycznych dwupierścieniowych i heterocyklicznych, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","101316-45-4","309-851-5"
"633","Aromatyczne, policykliczne węglowodory, C20-28, pochodne pirolizy z mieszaniny smoły węglowej i paku polietyleno-polipropylenowego, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","101794-74-5","309-956-6"
"634","Aromatyczne, policykliczne węglowodory, C20-28, pochodne pirolizy z mieszaniny smoły węglowej i paku polietylenowego, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","101794-75-6","309-957-1"
"635","Aromatyczne, policykliczne węglowodory, C20-28, pochodne pirolizy z mieszaniny smoły węglowej i paku polistyrenowego, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","101794-76-7","309-958-7"
"636","Pak, wysokotemperaturowa smoła węglowa, po obróbce termicznej, jeśli zawierają> 0,005 % wagowych benzo[a]pirenu","121575-60-8","310-162-7"
"637","Dibenzo[a,h]antracen","53-70-3","200-181-8"
"638","Benzo[a]antracen","56-55-3","200-280-6"
"639","Benzo[e]piren","192-97-2","205-892-7"
"640","Benzo[j]fluoranten","205-82-3","205-910-3"
"641","Benzo(e)acefenantrylen","205-99-2","205-911-9"
"642","Benzo(k)fluoranten","207-08-9","205-916-6"
"643","Chryzen","218-01-9","205-923-4"
"644","2-bromopropan","75-26-3","200-855-1"
"645","Trichloroetylen","79-01-6","201-167-4"
"646","1,2-dibromo-3-chloropropan","96-12-8","202-479-3"
"647","2,3-dibromopropan-1-ol","96-13-9","202-480-9"
"648","1,3-dichloropropan-2-ol","96-23-1","202-491-9"
"649","α,α,α-trichlorotoluen","98-07-7","202-634-5"
"650","α-chlorotoluen (chlorek benzylu)","100-44-7","202-853-6"
"651","1,2-dibromoetan","106-93-4","203-444-5"
"652","Heksachlorobenzen","118-74-1","204-273-9"
"653","Bromoetylen (bromek winylu)","593-60-2","209-800-6"
"654","1,4-dichlorobut-2-en","764-41-0","212-121-8"
"655","Metylooksiran (tlenek propylenu)","75-56-9","200-879-2"
"656","(Epoksyetylo)benzen (tlenek styrenu)","96-09-3","202-476-7"
"657","1-chloro-2,3-epoksypropan (epichlorohydryna)","106-89-8","203-439-8"
"658","R-1-chloro-2,3-epoksypropan","51594-55-9","424-280-2"
"659","1,2-epoksy-3-fenoksypropan (eter fenyloglicydowy)","122-60-1","204-557-2"
"660","2,3-epoksypropan-1-ol (glicydol)","556-52-5","209-128-3"
"661","R-2,3-epoksy-1-propanol","57044-25-4","404-660-4"
"662","2,2′-bioksiran (1,2:3,4-diepoksybutan)","1464-53-5","215-979-1"
"663","(2RS,3SR)-3-(2-chlorofenylo)-2-(4-fluorofenylo)-[(1H-1,2,4-triazol-1-ilo)metylo]oksiran; epoksykonazol","133855-98-8","406-850-2"
"664","Eter chlorometylowo-metylowy","107-30-2","203-480-1"
"665","2-metoksyetanol i jego octan (octan 2-metoksyetylowy)","109-86-4/110-49-6","203-713-7/203-772-9"
"666","2-etoksyetanol i jego octan (octan 2-etoksyetylowy)","110-80-5/111-15-9","203-804-1/203-839-2"
"667","Oksybis[chlorometan], eter bis(chlorometylowy)","542-88-1","208-832-8"
"668","2-metoksypropanol","1589-47-5","216-455-5"
"669","Propiolakton","57-57-8","200-340-1"
"670","Chlorek dimetylokarbamoilu","79-44-7","201-208-6"
"671","Uretan (karbaminian etylu)","51-79-6","200-123-1"
"672","Przeniesiony lub skreślony",,
"673","Przeniesiony lub skreślony",,
"674","Kwas metoksyoctowy","625-45-6","210-894-6"
"675","Ftalan dibutylu","84-74-2","201-557-4"
"676","Eter bis(2-metoksyetylowy) (dimetoksydiglikol)","111-96-6","203-924-4"
"677","Ftalan bis(2-etyloheksylowy) (ftalan dietyloheksylu)","117-81-7","204-211-0"
"678","Ftalan bis(2-metoksyetylowy)","117-82-8","204-212-6"
"679","Octan 2-metoksypropylu","70657-70-4","274-724-2"
"680","[[[3,5-bis(1,1-dimetyloetylo)-4-hydroksyfenylo]-metylo]tio]octan 2-etyloheksylu","80387-97-9","279-452-8"
"681","Akrylamid, jeśli niniejsze rozporządzenie w innym miejscu nie stanowi inaczej","79-06-1","201-173-7"
"682","Akrylonitryl","107-13-1","203-466-5"
"683","2-nitropropan","79-46-9","201-209-1"
"684","Dinoseb, jego sole i estry z wyjątkiem tych wymienionych w innym miejscu załącznika","88-85-7","201-861-7"
"685","2-nitroanizol","91-23-6","202-052-1"
"686","4-nitrobifenyl","92-93-3","202-204-7"
"687","2,4 -dinitrotoluen Dinitrotoluen, czysty technicznie","121-14-2/25321-14-6","204-450-0/246-836-1"
"688","Binapakryl","485-31-4","207-612-9"
"689","2-nitronaftalen","581-89-5","209-474-5"
"690","2,3-dinitrotoluen","602-01-7","210-013-5"
"691","5-nitroacenaftalen","602-87-9","210-025-0"
"692","2,6-dinitrotoluen","606-20-2","210-106-0"
"693","3,4-dinitrotoluen","610-39-9","210-222-1"
"694","3,5-dinitrotoluen","618-85-9","210-566-2"
"695","2,5-dinitrotoluen","619-15-8","210-581-4"
"696","Dinoterb, jego sole i estry","1420-07-1","215-813-8"
"697","Nitrofen","1836-75-5","217-406-0"
"698","Przeniesiony lub skreślony",,
"699","Diazometan","334-88-3","206-382-7"
"700","1,4,5,8-tetraaminoantrachinon (Disperse Blue 1)","2475-45-8","219-603-7"
"701","Przeniesiony lub skreślony",,
"702","1-metylo-3-nitro-1-nitrozoguanidyna","70-25-7","200-730-1"
"703","Przeniesiony lub skreślony",,
"704","Przeniesiony lub skreślony",,
"705","4,4′-metylenodianilina","101-77-9","202-974-4"
"706","Chlorowodorek 4,4′-(4-iminocycloheksa-2,5-dienylidenemetylen) dianiliny","569-61-9","209-321-2"
"707","4,4′-metylenedi-o-toluidyna","838-88-0","212-658-8"
"708","O-anizydyna","90-04-0","201-963-1"
"709","3,3′-dimetoksybenzydyna (orto-dianizydyna) i jej sole","119-90-4","204-355-4"
"710","Przeniesiony lub skreślony",,
"711","Barwniki azowe na bazie o-dianizydyny",,
"712","3,3′-dichlorobenzydyna","91-94-1","202-109-0"
"713","Dichlorowodorek benzydyny","531-85-1","208-519-6"
"714","Siarczan [[1,1′-bifenyl]-4,4′-diyl]diamonu","531-86-2","208-520-1"
"715","Dichlorowodorek 3,3′-dichlorobenzydyny","612-83-9","210-323-0"
"716","Siarczan benzydyny","21136-70-9","244-236-4"
"717","Octan benzydyny","36341-27-2","252-984-8"
"718","Diwodorobis(siarczan) 3,3′-dichlorobenzydyny","64969-34-2","265-293-1"
"719","Siarczan 3,3′-dichlorobenzydyny","74332-73-3","277-822-3"
"720","Barwniki azowe na bazie benzydyny",,
"721","4,4′-bi-o-toluidyna (orto-tolidyna)","119-93-7","204-358-0"
"722","Dichlorowodorek 4,4′-bi-o-toluidyny","612-82-8","210-322-5"
"723","Bis(wodorosiarczan) [3,3′-dimetylo[1,1′-bifenylo]-4,4′-diyl]diamoniowy","64969-36-4","265-294-7"
"724","Siarczan 4,4′-bi-o-toluidyny","74753-18-7","277-985-0"
"725","Barwniki pochodne o-toluidyny",,"611-030-00-4"
"726","Bifenylo-4-ylamina (4-aminobifenyl) i jej sole","92-67-1","202-177-1"
"727","Azobenzen","103-33-3","203-102-5"
"728","Octan (metylo-ONN-azoksy)metylu","592-62-1","209-765-7"
"729","Cycloheksimid","66-81-9","200-636-0"
"730","2-metyloazirydyna","75-55-8","200-878-7"
"731","Imidazolidyno-2-tion (tiomocznik etylenu)","96-45-7","202-506-9"
"732","Furan","110-00-9","203-727-3"
"733","Azirydyna","151-56-4","205-793-9"
"734","Kaptafol","2425-06-1","219-363-3"
"735","Karbadoks","6804-07-5","229-879-0"
"736","Flumioksazyna","103361-09-7","613-166-00-X"
"737","Tridemorf","24602-86-6","246-347-3"
"738","Winklozolina","50471-44-8","256-599-6"
"739","Fluazifop-butylu","69806-50-4","274-125-6"
"740","Flusilazol","85509-19-9","014-017-00-6"
"741","1,3,5-tris(oksyranylmetylo)-1,3,5-triazyno-2,4,6(1H,3H,5H)-trion (TGIC)","2451-62-9","219-514-3"
"742","Tioacetamid","62-55-5","200-541-4"
"743","Przeniesiony lub skreślony",,
"744","Formamid","75-12-7","200-842-0"
"745","N-metyloacetamid","79-16-3","201-182-6"
"746","N-metyloformamid","123-39-7","204-624-6"
"747","N,N-dimetyloacetamid","127-19-5","204-826-4"
"748","Triamid heksametylofosforowy","680-31-9","211-653-8"
"749","Siarczan dietylu","64-67-5","200-589-6"
"750","Siarczan dimetylu","77-78-1","201-058-1"
"751","1,3-propanosulton","1120-71-4","214-317-9"
"752","Chlorek dimetylosulfamoilu","13360-57-1","236-412-4"
"753","Sulfalat","95-06-7","202-388-9"
"754","Mieszanina: 4-[[bis-(4-fluorofenylo)metylsililo]metylo]-4H-1,2,4-triazolu i 1-[[bis-(4-fluorofenylo)metylsililo]metylo]-1H-1,2,4-triazolu",,"403-250-2"
"755","(R)-2-[4-(6-chlorochinoksalino-2-yloksy)fenyloksy] propionian (+/-) tetrahydrofurfurylu","119738-06-6","607-373-00-4"
"756","6-hydroksy-1-(3-izopropoksypropylo)-4-metylo-2-okso-5-[4-(fenylazo)fenylazo]-1,2-dihydro-3-pirydynokarbonitryl","85136-74-9","611-057-00-1"
"757","Mrówczan (6-(4-hydroksy-3-(2-metoksyfenylazo)-2-sulfonian-7-naftyloamino)-1,3,5-triazino-2,4-diyl)bis[(amino-1-metyloetylo)amoniowy]","108225-03-2","611-058-00-7"
"758","Sól trisodowa 4′-(8-acetyloamino-3,6-disulfoniano-2-naftylazo)-4″-(6-benzoiloamino-3-sulfoniano-2-naftylazo)-bifenylo-1,3′,3″0,1‴-tetraolato-O,O′,O″,O‴] miedzi",,"413-590-3"
"759","Mieszanina: N-[3-hydroksy-2-(2-metyloakryloylaminometoksy)propoksymetylo]-2-metyloakrylamidu i N-2,3-bis-(2-metyloakryloiloaminometoksy)propoksymetylo]-2-metyloakrylamidu i metakryloamidu i 2-metylo-N-(2-metyloakryloiloaminometoksymetylo)-akrylamidu i N-(2,3-dihydroksypropoksymetylo)-2-metyloakrylamidu",,"412-790-8"
"760","1,3,5-tris-[(2S i 2R)-2,3-epoksypropylo]-1,3,5-triazyno-2,4,6-(1H,3H,5H)-trion (teroksyron)","59653-74-6","616-091-00-0"
"761","Erionit","12510-42-8","650-012-00-0"
"762","Azbest","12001-28-4","650-013-00-6"
"763","Ropa naftowa","8002-05-9","232-298-5"
"764","Destylaty (ropa naftowa), ciężkie z hydrokrakingu, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64741-76-0","265-077-7"
"765","Destylaty (ropa naftowa), ciężkie parafinowe, rafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64741-88-4","265-090-8"
"766","Destylaty (ropa naftowa), lekkie parafinowe, rafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64741-89-5","265-091-3"
"767","Pozostałości olejowe (ropa naftowa), odasfaltowane rozpuszczalnikowo, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64741-95-3","265-096-0"
"768","Destylaty (ropa naftowa), ciężkie naftenowe, rafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64741-96-4","265-097-6"
"769","Destylaty (ropa naftowa), lekkie naftenowe, rafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64741-97-5","265-098-1"
"770","Pozostałości olejowe (ropa naftowa), rafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-01-4","265-101-6"
"771","Destylaty (ropa naftowa), ciężkie parafinowe, oczyszczone ziemiąbielącą, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-36-5","265-137-2"
"772","Destylaty (ropa naftowa), lekkie parafinowe, oczyszczone ziemiąbielącą, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-37-6","265-138-8"
"773","Pozostałości olejowe (ropa naftowa), oczyszczone ziemiąbielącą, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-41-2","265-143-5"
"774","Destylaty (ropa naftowa), ciężkie naftenowe, oczyszczone ziemiąbielącą, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-44-5","265-146-1"
"775","Destylaty (ropa naftowa), lekkie naftenowe oczyszczone ziemiąbielącą, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-45-6","265-147-7"
"776","Destylaty (ropa naftowa), hydrorafinowane ciężkie naftenowe, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-52-5","265-155-0"
"777","Destylaty (ropa naftowa), hydrorafinowane lekkie naftenowe, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-53-6","265-156-6"
"778","Destylaty (ropa naftowa), hydrorafinowane, ciężkie parafinowe, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-54-7","265-157-1"
"779","Destylaty (ropa naftowa), hydrorafinowane, lekkie parafinowe, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-55-8","265-158-7"
"780","Destylaty (ropa naftowa), lekkie parafinowe, odparafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-56-9","265-159-2"
"781","Pozostałości olejowe (ropa naftowa), hydrorafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-57-0","265-160-8"
"782","Pozostałości olejowe (ropa naftowa), odparafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-62-7","265-166-0"
"783","Destylaty (ropa naftowa), ciężkie naftenowe, odparafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-63-8","265-167-6"
"784","Destylaty (ropa naftowa), lekkie naftenowe, odparafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-64-9","265-168-1"
"785","Destylaty (ropa naftowa), ciężkie parafinowe, odparafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-65-0","265-169-7"
"786","Szlam olejowy (ropa naftowa), jeśli zawiera > 3 % wagowych ekstraktu DMSO","64742-67-2","265-171-8"
"787","Oleje naftenowe (ropa naftowa) ciężkie, katalitycznie odparafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-68-3","265-172-3"
"788","Oleje naftenowe (ropa naftowa) lekkie, katalitycznie odparafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-69-4","265-173-9"
"789","Oleje parafinowe (ropa naftowa) ciężkie, katalitycznie odparafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-70-7","265-174-4"
"790","Oleje parafinowe (ropa naftowa) lekkie, katalitycznie odparafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-71-8","265-176-5"
"791","Oleje naftenowe (ropa naftowa) ciężkie, z odparafinowania czynnikami kompleksującymi, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-75-2","265-179-1"
"792","Oleje naftenowe (ropa naftowa) lekkie, z odparafinowania czynnikami kompleksującymi, jeśli zawierają> 3 % wagowych ekstraktu DMSO","64742-76-3","265-180-7"
"793","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów ciężkich naftenowych o dużej zawartości węglowodorów aromatycznych, jeśli zawierają> 3 % wagowych ekstraktu DMSO","68783-00-6","272-175-3"
"794","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów ciężkich parafinowych, rafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","68783-04-0","272-180-0"
"795","Ekstrakty (ropa naftowa), destylatów ciężkich parafinowych, odasfaltowane rozpuszczalnikowo, jeśli zawierają> 3 % wagowych ekstraktu DMSO","68814-89-1","272-342-0"
"796","Oleje smarowe (ropa naftowa), C20-50, hydrorafinowane, obojętny olej bazowy o dużej lepkości, jeśli zawierają> 3 % wagowych ekstraktu DMSO","72623-85-9","276-736-3"
"797","Oleje smarowe (ropa naftowa), C15-30, hydrorafinowane, obojętny olej bazowy, jeśli zawierają> 3 % wagowych ekstraktu DMSO","72623- 86-0","276-737-9"
"798","Oleje smarowe (ropa naftowa), C20-50, hydrorafinowane, obojętny olej bazowy, jeśli zawierają> 3 % wagowych ekstraktu DMSO","72623- 87-1","276-738-4"
"799","Oleje smarowe, jeśli zawierają> 3 % wagowych ekstraktu DMSO","74869-22-0","278-012-2"
"800","Destylaty (ropa naftowa), parafinowe ciężkie, z odparafinowania czynnikami kompleksującymi, jeśli zawierają> 3 % wagowych ekstraktu DMSO","90640-91-8","292-613-7"
"801","Destylaty (ropa naftowa), parafinowe lekkie, z odparafinowania czynnikami kompleksującymi, jeśli zawierają> 3 % wagowych ekstraktu DMSO","90640-92-9","292-614-2"
"802","Destylaty (ropa naftowa), ciężkie, odparafinowane rozpuszczalnikiem, poddane działaniu gliny, jeśli zawierają> 3 % wagowych ekstraktu DMSO","90640-94-1","292-616-3"
"803","Węglowodory, C20-50, ciężkie, hydrorafinowane, odparafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","90640-95-2","292-617-9"
"804","Destylaty (ropa naftowa), lekkie, odparafinowane rozpuszczalnikiem, poddane działaniu gliny, jeśli zawierają> 3 % wagowych ekstraktu DMSO","90640-96-3","292-618-4"
"805","Destylaty (ropa naftowa), lekkie, parafinowe hydrorafinowane, odparafinowane rozpuszczalnikiem, jeśli zawierają>3 % wagowych ekstraktu DMSO","90640-97-4","292-620-5"
"806","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów ciężkich naftenowych, hydrorafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","90641-07-9","292-631-5"
"807","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów ciężkich parafinowych, hydrorafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","90641-08-0","292-632-0"
"808","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów lekkich parafinowych, hydrorafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","90641-09-1","292-633-6"
"809","Pozostałości olejowe (ropa naftowa) z odparafinowania rozpuszczalnikowego, hydrorafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","90669-74-2","292-656-1"
"810","Pozostałości olejowe (ropa naftowa) odparafinowane katalitycznie, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91770-57-9","294-843-3"
"811","Destylaty (ropa naftowa), ciężkie parafinowe, hydrorafinowane, odparafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91995-39-0","295-300-3"
"812","Destylaty (ropa naftowa), lekkie parafinowe, hydrorafinowane, odparafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91995-40-3","295-301-9"
"813","Destylaty (ropa naftowa), hydrokrakowane, odparafinowane, rafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91995-45-8","295-306-6"
"814","Destylaty (ropa naftowa), lekkie naftenowe rafinowane rozpuszczalnikiem, hydrorafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91995-54-9","295-316-0"
"815","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów lekkich parafinowych, hydrorafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91995- 73-2","295-335-4"
"816","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów lekkich naftenowych, hydroodsiarczane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91995-75-4","295-338-0"
"817","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów lekkich parafinowych, rafinowane kwasem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91995-76-5","295-339-6"
"818","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów lekkich parafinowych, hydroodsiarczane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91995-77-6","295-340-1"
"819","Ekstrakty (ropa naftowa), hydrorafinowane, rozpuszczalnikowe lekkiego oleju gazowego, jeśli zawierają> 3 % wagowych ekstraktu DMSO","91995-79-8","295-342-2"
"820","Szlam olejowy (ropa naftowa) hydrorafinowany, jeśli zawiera > 3 % wagowych ekstraktu DMSO","92045-12-0","295-394-6"
"821","Oleje smarowe (ropa naftowa), C17-35, ekstrahowane rozpuszczalnikiem, odparafinowane, hydrorafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","92045-42-6","295-423-2"
"822","Oleje smarowe (ropa naftowa), odparafinowana rozpuszczalnikowo frakcja z hydrokrakingu niezawierająca związków aromatycznych, jeśli zawierają> 3 % wagowych ekstraktu DMSO","92045-43-7","295-424-8"
"823","Pozostałości olejowe (ropa naftowa) z obróbki kwasem produktów z odparafinowania rozpuszczalnikowego, jeśli zawierają> 3 % wagowych ekstraktu DMSO","92061-86-4","295-499-7"
"824","Oleje parafinowe (ropa naftowa) ciężkie, rafinowane rozpuszczalnikiem, odparafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","92129-09-4","295-810-6"
"825","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów ciężkich parafinowych, oczyszczane ziemiąbielącą, jeśli zawierają> 3 % wagowych ekstraktu DMSO","92704- 08-0","296-437-1"
"826","Oleje smarowe (ropa naftowa), oleje bazowe, parafinowe, jeśli zawierają> 3 % wagowych ekstraktu DMSO","93572-43-1","297-474-6"
"827","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów ciężkich naftenowych, hydroodsiarczane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","93763-10-1","297-827-4"
"828","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów ciężkich parafinowych, odparafinowanych rozpuszczalnikowo, hydroodsiarczane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","93763-11-2","297-829-5"
"829","Węglowodory, parafinowe, hydrokrakowane pozostałości destylacji, odparafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","93763-38-3","297-857-8"
"830","Szlam olejowy (ropa naftowa) rafinowany kwasem, jeśli zawiera > 3 % wagowych ekstraktu DMSO","93924-31-3","300-225-7"
"831","Szlam olejowy (ropa naftowa) oczyszczony ziemiąbielącą, jeśli zawiera > 3 % wagowych ekstraktu DMSO","93924-32-4","300-226-2"
"832","Węglowodory, C20-50, uwodornione pozostałości olejowe z destylacji próżniowej, jeśli zawierają> 3 % wagowych ekstraktu DMSO","93924-61-9","300-257-1"
"833","Destylaty (ropa naftowa), ciężkie, rafinowane rozpuszczalnikiem, hydrorafinowane, uwodornione, jeśli zawierają> 3 % wagowych ekstraktu DMSO","94733-08-1","305-588-5"
"834","Destylaty (ropa naftowa), lekkie, rafinowane rozpuszczalnikiem, hydrokrakowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","94733-09-2","305-589-0"
