"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w słowniku wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Warunki i ostrzeżenia na opakowaniach (i)"
"115","Olejek i ekstrakt z gatunków Pinus","Pinus Strobus Bark Extract <br>Pinus Strobus Cone Extract <br>Pinus Strobus Twig Oil <br>Pinus Species Twig Leaf Extract <br>Pinus Species Twig Leaf Oil","94266-48-5","304-455-9",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"116","Olejek i ekstrakt z Pinus cembra","Pinus Cembra Twig Leaf Oil <br>Pinus Cembra Twig Leaf Extract","92202-04-5","296-036-1",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"117","Acetylowany ekstrakt z Pinus cembra","Pinus Cembra Twig Leaf Extract Acetylated","94334-26-6","305-102-1",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"118","Olejek i ekstrakt z Picea mariana","Picea Mariana Leaf Extract <br>Picea Mariana Leaf Oil","91722-19-9","294-420-3",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"119","Olejek i ekstrakt z Thuja occidentalis","Thuja Occidentalis Bark Extract <br>Thuja Occidentalis Leaf <br>Thuja Occidentalis Leaf Extract <br>Thuja Occidentalis Leaf Oil <br>Thuja Occidentalis Stem Extract <br>Thuja Occidentalis Stem Oil <br>Thuja Occidentalis Root Extract","90131-58-1","290-370-1",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"121","3-Carene; 3,7,7-trimetylobicyklo[4.1.0]hept-3-en (izodipren)",,"13466-78-9","236-719-3",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"122","Olejek i ekstrakt z Cedrus atlantica <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup>","Cedrus Atlantica Bark Extract <br>Cedrus Atlantica Bark Oil <br>Cedrus Atlantica Bark Water <br>Cedrus Atlantica Leaf Extract <br>Cedrus Atlantica Wood Extract <br>Cedrus Atlantica Wood Oil","92201-55-3/ 8023-85-6","295-985-9/ -",,,"Obecność jednej lub kilku z tych substancji musi być uwzględniona jako Cedrus Atlantica Oil/Extract w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy stężenie jednej lub kilku z nich przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym. <br>Liczba nadtlenkowa musi być poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"123","Olejek i ekstrakt z Cupressus sempervirens","Cupressus Sempervirens Leaf Oil <br>Cupressus Sempervirens Bark Extract <br>Cupressus Sempervirens Cone Extract <br>Cupressus Sempervirens Fruit Extract <br>Cupressus Sempervirens Leaf Extract <br>Cupressus Sempervirens Leaf/Nut/Stem Oil <br>Cupressus Sempervirens Leaf/Stem Extract <br>Cupressus Sempervirens Leaf Water <br>Cupressus Sempervirens Seed Extract <br>Cupressus Sempervirens Oil","84696-07-1","283-626-9",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"124","Terpentyna balsamiczna (Pinus spp.); olejek terpentynowy i olejek rektyfikowany; terpentyna, destylat z parąwodną(Pinus spp.) <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup>","Turpentine","9005-90-7 / 8006-64-2 / 8052-14-0","232-688-5 / 232-350-7 / -",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym. <br>Liczba nadtlenkowa w przypadku każdej substancji musi być poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"127","Terpene alcohols acetates","Terpene alcohols acetates","69103-01-1","273-868-3",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"128","Terpene hydrocarbons","Terpene hydrocarbons","68956-56-9","273-309-3",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"129","Terpenes and terpenoids z wyjątkiem limonenu (izomerów d-, l- i dl) wymienionego pod numerami porządkowymi 88, 167 i 168 niniejszego załącznika III","Terpenes and terpenoids","65996-98-7","266-034-5",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"130","Terpeny i terpenoidy",,"68917-63-5","272-842-9",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"131","p-menta-1,3-dien <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup>","Alpha-Terpinene","99-86-5","202-795-1",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym. <br>Liczba nadtlenkowa musi być poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"132","gamma-Terpinene; p-menta-1,4-dien","gamma-Terpinene","99-85-4","202-794-6",,,"Liczba nadtlenkowa poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"133","p-menta-1,4(8)-dien <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup>","Terpinolene","586-62-9","209-578-0",,,"Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym. <br>Liczba nadtlenkowa musi być poniżej 10 mmoli/l <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='To ograniczenie stosuje się do substancji, a nie do końcowego produktu kosmetycznego.'>(15)</span></sup>",
"134","Keton metylowo 1,1,2,3,3,6-heksametyloindan-5-ylowy","Acetyl Hexamethyl indan","15323-35-0","239-360-0","a) Produkty niespłukiwane <br>b) Produkty spłukiwane","a) 2 %",,
"135","Allyl butyrate; butanonian 2- propenylu","Allyl butyrate","2051-78-7","218-129-8",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"136","Allyl cinnamate; 3-fenylo-2-propenonian 2- propenylu","Allyl cinnamate","1866-31-5","217-477-8",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"137","Allyl cyclohexylacetate; cykloheksanoctan 2-propenylu","Allyl cyclohexylacetate","4728-82-9","225-230-0",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"138","Allyl cyclohexylpropionate; 3- cykloheksanopropionian 2-propenylu","Allyl cyclohexylpropionate","2705-87-5","220-292-5",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"139","Allyl heptanoate; heptanonian 2- propenylu","Allyl heptanoate","142-19-8","205-527-1",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"140","Heksanonian allilu","Allyl Caproate","123-68-2","204-642-4",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"141","Allyl isovalerate; 3-metylobutanonian 2-propenylu","Allyl isovalerate","2835-39-4","220-609-7",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"142","Allyl octanoate; kaprylan 2-allilu","Allyl octanoate","4230-97-1","224-184-9",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"143","Allyl phenoxyacetate; fenoksyoctan 2- propenylu","Allyl phenoxyacetate","7493-74-5","231-335-2",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"144","Allyl phenylacetate; benzenooctan 2- propenylu","Allyl phenylacetate","1797-74-6","217-281-2",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"145","Allyl 3,5,5-trimethylhexanoate","Allyl 3,5,5-trimethylhexanoate","71500-37-3","275-536-3",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"146","Allyl cyclohexyloxyacetate","Allyl cyclohexyloxyacetate","68901-15-5","272-657-3",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"147","Izoamyloksyoctanallilu","Isoamyl Allylglycolate","67634-00-8","266-803-5",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"148","Allyl 2-methylbutoxyacetate","Allyl 2-methylbutoxyacetate","67634-01-9","266-804-0",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"149","Allyl nonanoate","Allyl nonanoate","7493-72-3","231-334-7",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"150","Allyl propionate","Allyl propionate","2408-20-0","219-307-8",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"151","Allyl trimethylhexanoate","Allyl trimethylhexanoate","68132-80-9","268-648-9",,,"Poziom wolnego alkoholu allilowego w estrze ma być niższy niż 0,1 %",
"151a","Allyl phenethyl ether","Allyl phenethyl ether","14289-65-7","238-212-2",,,"Poziom wolnego alkoholu allilowego w eterze ma być niższy niż 0,1 %",
"152","Allyl heptine carbonate (okt-2-ynonian allilu)","Allyl heptine carbonate","73157-43-4","277-303-1",,"0,002 %","Ten materiał nie może być używany w połączeniu z żadnym innym estrem kwaśnym 2-alkinowym (np. węglanem metyloheptynu)",
"153","Amylcyclopentenone; 2-pentylocyklopent-2-en-1-on","Amylcyclopentenone","25564-22-1","247-104-4",,"0,1 %",,
"154","Myroxylon balsamum var. pereirae; ekstrakty i destylaty; balsam peruwiański, olejek, absolut i bezwodny (Balsam Oil Peru) <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup>","Myroxylon Balsamum Pereirae Balsam Extract <br>Myroxylon Balsamum Pereirae Balsam Oil <br>Myroxylon Pereirae Oil <br>Myroxylon Pereirae Resin Extract <br>Myroxylon Pereirae Resin","8007-00-9","232-352-8",,"0,4 %","Obecność jednej lub kilku z tych substancji musi być uwzględniona jako Myroxylon Pereirae Oil/Extract w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy stężenie jednej lub kilku z nich przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"155","4-tert-Butyldihydrocinnamaldehyde; aldehyd 3-(4-tert-butylofenylo)propionowy","4-tert-Butyldihydrocinnamaldehyde","18127-01-0","242-016-2",,"0,6 %",,
"156","Olejek i ekstrakt z Cuminum cyminum","Cuminum Cyminum Fruit Oil <br>Cuminum Cyminum Fruit Extract <br>Cuminum Cyminum Seed Oil <br>Cuminum Cyminum Seed Extract <br>Cuminum Cyminum Seed Powder","84775-51-9","283-881-6","a) Produkty niespłukiwane <br>b) Produkty spłukiwane","a) 0,4 % oleju kuminowego",,
"157","1-(2,6,6-trimetylo-2-cykloheksen-1-ylo)-2-buten-1-on <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Suma tych substancji stosowanych w połączeniu nie powinna przekraczać limitów podanych jako „Maksymalne stężęnie w preparacie gotowym do użycia”.'>(16)</span></sup> <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup> <br>1-(2,6,6-trimetylocykloheksa-1,3-dien-1-ylo)-2-buten-1-on <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup> <br>1-(2,6,6-trimetylo-3-cykloheksen-1-ylo)-2-buten-1-on <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup> <br>(Z)-1-(2,6,6-trimetylo-1-cykloheksen-1-ylo)-2-buten-1-on <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup> <br>(E)-1-(2,6,6-trimetylo-1-cykloheksen-1-ylo)-2-buten-1-on <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup>","Alpha-Damascone <br>cis-Rose ketone 1 <br>trans-Rose ketone 1 <br>Rose ketone 4 (Damascone) <br>Rose ketone 3 (delta-Damascone) <br>trans-Rose ketone 3 <br>cis-Rose ketone 2 (cis-beta-Damascone) <br>trans-Rose ketone 2 (trans-beta-Damascone)","43052-87-5 / 23726-94-5 <br>24720-09-0 <br>23696-85-7 <br>57378-68-4 <br>71048-82-3 <br>23726-92-3 <br>23726-91-2","- / 245-845-8 <br>246-430-4 <br>245-833-2 <br>260-709-8 <br>275-156-8 <br>245-843-7 <br>245-842-1","a) Produkty do jamy ustnej b) Inne produkty","b) 0,02 %","a), b): Obecność jednej lub kilku z tych substancji musi być uwzględniona jako „Rose Ketones” w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy stężenie jednej lub kilku z nich przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"159","trans-Rose ketone-5 <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Suma tych substancji stosowanych w połączeniu nie powinna przekraczać limitów podanych jako „Maksymalne stężęnie w preparacie gotowym do użycia”.'>(16)</span></sup>; (E)-1-(2,4,4-trimetylo-2-cykloheksen-1-ylo)-2-buten-1-on (izo-damaskon)","trans-Rose ketone-5","39872-57-6","254-663-8",,"0,02 %",,
"164","Rose ketone-5 <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Suma tych substancji stosowanych w połączeniu nie powinna przekraczać limitów podanych jako „Maksymalne stężęnie w preparacie gotowym do użycia”.'>(16)</span></sup>; 1-(2,4,4-trimetylo-2-cykloheksen-1-ylo)-2-buten-1-on","Rose ketone-5","33673-71-1","251-632-0",,"0,02 %",,
"166","trans-2-hexenal","trans-2-hexenal","6728-26-3","229-778-1","a) Produkty do jamy ustnej <br>b) Inne produkty","b) 0,002 %",,
"169","p-menta-1,8-dien-7-al","Perillaldehyde","2111-75-3","218-302-8","a) Produkty do jamy ustnej <br>b) Inne produkty","b) 0,1 %",,
"170","Isobergamate; mrówczan mentadieno-7-metylu","Isobergamate","68683-20-5","272-066-0",,"0,1 %",,
"171","Metoksydicyklo-pentad ienokarboksyalde-hyd; oktahydro-5-metoksy-4,7-metano-1H-indeno-2-karboksyaldehyd","Scentenal","86803-90-9","—",,"0,5 %",,
"172","3-Methylnon-2-enenitrile","3-Methylnon-2-enenitrile","53153-66-5","258-398-9",,"0,2 %",,
"173","Methyl octine carbonate; metylonon-2-ynonian","Methyl octine carbonate","111-80-8","203-909-2","a) Produkty do jamy ustnej <br>b) Inne produkty","b) 0,002 %, jeśli stosowany samodzielnie. <br>Jeśli jest obecny w połączeniu z węglanem metyloheptynu, łączny poziom w produkcie końcowym nie może przekraczać 0,01 % (z czego węglan metylooktyny nie może wynosić więcej niż 0,002 %)",,
"174","Amylvinylcarbinyl acetate; octan 1-okten-3-ylu","Amylvinylcarbinyl acetate","2442-10-6","219-474-7","a) Produkty do jamy ustnej <br>b) Inne produkty","b) 0,3 %",,
"175","3-propylideno-1(3H)-izobenzofuranon; 3-propylidenoftalid <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(40)</span></sup>","3-Propylidenephthalide","17369-59-4","241-402-8","a) Produkty do jamy ustnej <br>b) Inne produkty","b) 0,01 %","a) Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"176","Isocyclogeraniol; 2,4,6-trimetylo-3-cyklohekseno-1-metanol","Isocyclogeraniol","68527-77-5","271-282-2",,"0,5 %",,
"177","2-heksylidenocyklopentanon","2-Hexylidene cyclopentanone","17373-89-6","241-411-7","a) Produkty do jamy ustnej <br>b) Inne produkty","b) 0,06 %",,
"178","Methyl heptadienone; 6-metylo-3,5-heptadien-2-on","Methyl heptadienone","1604-28-0","216-507-7","a) Produkty do jamy ustnej <br>b) Inne produkty","b) 0,002 %",,
"179","p-methylhydrocinnamic aldehyde; aldehyd propionowo-krezylowy; aldehyd p-metylodihydrocynamonowy","p-methylhydrocinnamic aldehyde","5406-12-2","226-460-4",,"0,2 %",,
"180","Olejek i ekstrakt z Liquidambar orientalis (styraks)","Liquidambar Orientalis Resin Extract <br>Liquidambar Orientalis Balsam Extract <br>Liquidambar Orientalis Balsam Oil","94891-27-7","305-627-6",,"0,6 %",,
"181","Olejek i ekstrakt z Liquidambar styraciflua (styraks)","Liquidambar Styraciflua Oil <br>Liquidambar Styraciflua Balsam Extract <br>Liquidambar Styraciflua Balsam Oil","8046-19-3 / 94891-28-8","232-458-4 / 305-628-1",,"0,6 %",,
"182","1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-heksametylo-2-naftylo)etan-1-on (AHTN)","Acetyl hexamethyl tetralin","21145-77-7/1506-02-1","244-240-6/216-133-4","Wszystkie produkty kosmetyczne, z wyjątkiem produktów do jamy ustnej","a) Produkty niespłukiwane: 0,1 % <br>z wyjątkiem: produktów hydroalkoholowych: 1 % <br>czystej kompozycji zapachowej: 2,5 % <br>kremu zapachowego: 0,5 % b) Produkty spłukiwane 0,2 %",,
"183","Ekstrakt i olejek z żywicy Commiphora erythrea Engler var. glabrescens Engler","Opoponax oil","93686-00-1","297-649-7",,"0,6 %",,
"184","Żywica z Opopanax chironium",,"93384-32-8",,,"0,6 %",,
"185","Metylobenzen","Toluene","108-88-3","203-625-9","Produkty do paznokci","25 %",,"Chronić przed dziećmi <br>Do stosowania wyłącznie przez osoby dorosłe"
"186","2,2′-oksydietanol Glikol dietylenowy (DEG)","Diethylene glycol","111-46-6","203-872-2","Jako śladowe ilości w składnikach","0,1 %",,
"187","Eter monobutylowy glikolu dietylenowego (DEGBE)","Butoxydiglycol","112-34-5","203-961-6","Rozpuszczalnik w produktach do farbowania włosów","9 %","Nie stosować w produktach aerozolowych",
"188","Eter monobutylowy glikolu etylenowego (EGBE)","Butoxyethanol","111-76-2","203-905-0","a) Rozpuszczalnik w utleniających produktach do farbowania włosów <br>b) Rozpuszczalnik w nieutleniających produktach do farbowania włosów","a) 4,0 % <br>b) 2,0 %","a), b): Nie stosować w produktach aerozolowych",
"189","5-hydroksy-1-(4-sulfofenylo)-4-(4-sulfofenyloazo)pirazolo-3-karboksylan trisodu i jego lak glinu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>; (CI 19140)","Acid Yellow 23; Acid Yellow 23 Aluminum lake","1934-21-0/12225-21-7","217-699-5/235-428-9","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 %",,
"190","N-etylo-N-[4-[[4-[etylo[(3-sulfofenylo)metylo]amino]fenylo][2-sulfofenylo)metyleno]-2,5-cykloheksadien-1-ylideno]-3-sulfobenzenometanoamina, sole wewnętrzne, sól disodu i jej sole amonu i glinu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>; (CI 42090)","Acid Blue 9 <br>Acid Blue 9 Ammonium Salt <br>Acid Blue 9 Aluminum Lake","3844-45-9 / 2650-18-2 / 68921-42-6","223-339-8 / 220-168-0 / 272-939-6","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 %",,
"191","6-hydroksy-5-[(2-metoksy-4-sulfoniano-m-tolilo)azo]naftaleno-2-sulfonian disodu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>; (CI 16035)","Curry Red","25956-17-6","247-368-0","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,4 %",,
"192","1-(1-naftyloazo)-2-hydroksynaftaleno-4′,6,8-trisulfonian trisodu i jego lak glinu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>; (CI 16255)","Acid Red 18 <br>Acid Red 18 Aluminum Lake","2611-82-7 / 12227-64-4","220-036-2 / 235-438-3","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 %",,
"193","Wodoro-3,6-bis(dietyloamino)-9-(2,4-disulfonianofenylo)ksantylium, sól sodu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>; (CI 45100)","Acid Red 52","3520-42-1","222-529-8","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 0,6 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,5 %","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"194","Glioksal","Glyoxal","107-22-2","203-474-9",,"100 mg/kg",,
